host_response_rate,host_identity_verified,host_total_listings_count,is_location_exact,property_type,accommodates,price,minimum_nights,number_of_reviews,review_scores_rating,instant_bookable,cancellation_policy,reviews_per_month,fraud
100,1,8,1,8,2,8000,1,13,91.0,1,0,4.15,1
90,0,1,0,0,4,13500,3,2,90.0,0,0,0.69,1
100,1,2,1,0,7,39900,2,31,84.0,0,2,0.73,1
100,1,1,1,0,3,25900,2,33,97.0,0,0,1.48,1
100,0,4,1,8,2,17900,2,15,83.0,0,0,1.33,1
100,1,2,1,8,2,13500,2,104,98.0,0,1,4.46,1
100,1,20,1,8,2,6400,1,41,80.0,1,2,1.65,1
100,1,1,1,0,2,12500,6,67,91.0,0,1,1.87,1
100,1,6,1,8,2,12800,1,78,92.0,1,2,4.8,1
96,0,4,1,0,2,11900,2,80,83.0,0,2,3.05,1
100,0,11,1,0,3,9900,1,49,88.0,1,2,1.74,1
95,1,6,1,8,2,6500,30,36,87.0,0,2,1.69,1
96,1,313,1,0,3,21900,3,6,97.0,0,1,0.24,1
100,0,4,0,0,2,14500,1,2,70.0,0,2,0.44,1
100,1,4,1,8,2,6500,2,62,91.0,0,0,2.33,1
100,1,7,1,0,6,22500,3,138,92.0,0,2,2.24,1
96,0,4,1,0,2,11900,2,80,83.0,0,2,3.05,1
95,1,8,0,0,2,15000,1,74,97.0,0,1,4.81,1
73,1,4,1,8,2,4600,2,18,82.0,1,2,1.46,1
91,0,11,1,0,6,37900,2,14,90.0,0,2,2.15,1
100,1,2,1,0,10,26900,1,24,90.0,1,1,3.87,1
89,1,1,1,0,3,11500,7,22,79.0,0,0,1.56,1
97,1,1,1,0,2,4600,2,31,75.0,0,1,1.84,1
100,0,11,1,0,4,13900,1,27,87.0,1,2,1.3,1
100,1,4,1,1,2,6000,1,8,95.0,0,2,0.52,1
100,1,1,1,0,4,24900,3,26,98.0,0,2,1.51,1
79,1,18,1,0,1,5200,5,3,73.0,0,2,0.12,1
100,0,11,1,0,3,9900,1,49,88.0,1,2,1.74,1
100,1,2,1,0,7,39900,2,31,84.0,0,2,0.73,1
100,1,1,0,4,4,13300,2,17,95.0,0,1,1.27,1
93,1,1,1,0,7,27500,1,96,97.0,1,2,7.42,1
100,1,7,1,0,4,9900,1,252,78.0,1,0,7.05,1
100,1,2,1,0,3,4500,1,19,93.0,0,1,1.57,1
95,1,6,1,8,2,7000,1,47,92.0,0,2,2.19,1
100,1,1,1,4,5,17500,1,94,93.0,0,1,3.09,1
100,1,1,1,0,4,13000,2,59,99.0,0,1,4.55,1
100,0,8,0,8,2,6900,1,31,97.0,1,1,5.71,1
100,0,4,1,8,2,17900,2,15,83.0,0,0,1.33,1
100,1,4,1,0,4,13000,2,77,87.0,0,1,2.89,1
97,1,21,1,0,2,6500,2,3,60.0,0,1,0.36,1
100,1,1,1,9,4,17500,2,312,92.0,1,2,5.85,1
100,1,1,1,0,4,23900,2,103,98.0,0,2,4.09,1
94,0,5,1,0,4,22500,3,13,100.0,0,3,0.18,1
100,0,1,1,0,2,5000,1,1,20.0,0,0,0.08,1
100,1,2,1,0,7,39900,2,31,84.0,0,2,0.73,1
100,1,1,1,0,6,20000,1,132,96.0,1,2,2.62,1
90,0,1,1,0,2,12000,3,4,100.0,0,0,2.07,1
100,1,2,1,0,1,4000,1,101,96.0,1,1,4.57,1
100,0,5,1,8,4,6500,1,11,91.0,0,2,4.12,1
100,0,22,0,0,1,3700,10,4,90.0,0,1,0.8,1
100,1,6,1,0,2,12500,2,85,98.0,0,1,3.65,1
100,1,4,1,0,2,7500,1,150,97.0,1,0,6.2,1
100,1,11,1,11,6,16500,1,84,87.0,0,2,1.53,1
100,0,2,1,0,4,15900,2,81,92.0,0,1,3.47,1
89,1,558,1,0,4,35900,2,15,71.0,0,3,0.21,1
90,0,1,1,0,2,12000,3,4,100.0,0,0,2.07,1
100,1,1,1,4,2,5800,2,65,96.0,0,1,5.36,1
90,1,1,1,0,6,37500,2,98,99.0,1,1,3.9,1
100,1,4,1,1,2,11500,2,43,98.0,1,1,1.88,1
100,1,2,1,0,2,4500,1,110,98.0,0,2,5.47,1
50,1,2,1,8,2,7300,1,19,99.0,0,1,1.35,1
75,0,1,1,0,2,12500,2,14,93.0,0,0,1.34,1
98,1,24,1,0,4,22000,3,13,88.0,0,2,1.07,1
100,1,4,1,1,2,6000,1,8,95.0,0,2,0.52,1
100,1,2,1,8,1,5700,1,17,94.0,0,0,0.48,1
100,0,2,0,0,6,35000,2,17,91.0,0,1,1.85,1
100,1,6,1,10,1,50000,1,26,94.0,0,2,0.65,1
100,1,2,1,8,7,26000,2,35,94.0,0,2,1.87,1
50,1,2,1,8,2,7300,1,19,99.0,0,1,1.35,1
80,1,2,0,0,5,6500,4,10,84.0,0,2,1.76,1
50,1,2,1,8,2,7300,1,19,99.0,0,1,1.35,1
90,1,1,1,0,2,16500,5,37,94.0,0,2,1.26,1
100,1,2,1,8,2,10000,1,62,97.0,0,0,4.39,1
100,1,3,1,0,2,7000,2,72,79.0,0,1,1.93,1
90,0,1,1,0,2,12000,3,4,100.0,0,0,2.07,1
100,1,2,1,0,1,4000,1,101,96.0,1,1,4.57,1
96,1,313,1,0,5,36300,3,7,73.0,0,1,0.45,1
100,1,2,1,0,2,17900,1,60,98.0,0,1,2.13,1
98,1,24,0,0,2,20000,2,28,93.0,0,2,0.96,1
91,0,11,1,0,2,18900,2,15,97.0,0,2,1.72,1
100,1,1,1,11,2,15500,1,100,98.0,0,1,6.32,1
89,1,558,1,0,2,25100,2,22,85.0,0,3,0.28,1
100,1,2,0,0,2,12900,1,28,96.0,0,0,2.06,1
100,1,4,1,0,5,8000,3,11,84.0,0,2,3.79,1
100,1,3,1,8,4,15000,2,64,93.0,0,1,4.92,1
100,0,5,1,0,12,52500,3,7,70.0,0,2,0.13,1
96,0,4,1,0,2,9900,2,8,80.0,0,2,1.09,1
100,1,11,1,8,2,6500,2,125,89.0,1,2,2.05,1
100,1,7,1,0,3,9900,1,71,79.0,1,0,6.07,1
100,1,6,1,0,4,30600,1,192,97.0,0,2,4.72,1
100,0,1,1,0,2,9500,3,10,94.0,0,0,1.71,1
100,1,20,1,8,2,6400,1,41,80.0,1,2,1.65,1
100,1,3,1,0,2,9000,3,38,98.0,0,1,3.52,1
100,1,6,1,0,2,18300,2,192,94.0,0,2,4.57,1
98,0,3,1,0,1,12500,1,27,85.0,0,1,4.66,1
100,1,2,1,0,2,13500,2,41,98.0,0,2,1.58,1
100,0,1,0,0,5,25000,1,56,95.0,0,1,3.89,1
96,1,313,1,0,5,36300,3,7,73.0,0,1,0.45,1
100,1,1,1,0,2,9500,1,45,95.0,0,2,4.05,1
100,1,6,1,0,4,30600,1,192,97.0,0,2,4.72,1
100,1,2,1,0,2,17500,2,92,90.0,0,2,1.66,1
90,0,1,1,0,2,17000,1,50,97.0,0,0,2.91,1
92,0,4,1,8,2,7500,3,38,89.0,1,1,2.07,1
100,0,4,1,0,1,3800,2,5,60.0,1,0,2.78,1
100,1,1,1,0,4,21000,2,41,94.0,0,1,1.25,1
100,0,1,1,0,2,5000,1,1,20.0,0,0,0.08,1
100,1,8,1,0,2,8000,1,19,94.0,1,0,6.55,1
100,1,7,1,0,2,6000,2,32,78.0,0,2,5.33,1
100,1,1,0,4,2,13900,1,1,80.0,0,1,0.94,1
100,1,4,1,0,2,6000,1,280,96.0,1,0,7.07,1
100,0,1,1,0,2,9500,3,10,94.0,0,0,1.71,1
100,1,1,1,0,2,9500,1,45,95.0,0,2,4.05,1
90,1,1,1,0,2,16500,5,37,94.0,0,2,1.26,1
100,1,7,1,0,2,9900,1,121,71.0,1,0,8.01,1
94,1,18,1,0,3,13300,1,74,80.0,0,1,2.71,1
100,1,1,1,0,3,25000,1,34,90.0,0,2,1.16,1
100,1,4,1,8,2,7700,1,226,86.0,0,2,5.64,1
95,1,6,1,8,2,7000,1,47,92.0,0,2,2.19,1
92,0,4,1,8,2,7500,3,40,91.0,1,0,2.38,1
100,1,2,1,0,2,4500,1,110,98.0,0,2,5.47,1
95,1,6,1,8,2,6500,30,36,87.0,0,2,1.69,1
100,1,3,1,1,2,10000,1,123,98.0,0,0,3.53,1
100,0,2,0,8,3,7500,3,6,68.0,0,0,0.6,1
91,0,11,1,0,2,22900,2,8,80.0,0,2,1.06,1
89,1,558,1,0,2,25900,2,2,60.0,0,3,0.08,1
100,1,2,1,0,6,19000,2,39,88.0,0,1,1.53,1
100,1,2,1,8,1,7200,1,15,97.0,0,1,0.62,1
100,1,1,1,8,4,30000,2,38,96.0,0,1,2.08,1
100,1,1,1,0,2,5900,1,47,90.0,0,1,2.78,1
100,1,7,1,0,4,9900,1,184,76.0,1,0,7.53,1
94,1,18,1,0,3,13300,1,74,80.0,0,1,2.71,1
100,0,12,1,0,2,17500,5,12,98.0,0,2,0.18,1
100,0,2,1,8,5,8400,2,18,81.0,0,1,2.39,1
100,0,2,0,0,6,35000,2,17,91.0,0,1,1.85,1
100,0,1,1,0,2,5000,1,1,20.0,0,0,0.08,1
95,1,6,1,8,2,6500,30,36,87.0,0,2,1.69,1
100,1,2,1,0,4,45000,2,19,100.0,0,1,3.31,1
100,1,1,1,0,4,21000,2,41,94.0,0,1,1.25,1
100,0,11,1,0,4,13500,1,7,47.0,0,2,1.62,1
100,1,9,1,0,7,19900,1,24,88.0,0,2,1.83,1
95,1,8,0,0,2,15000,1,74,97.0,0,1,4.81,1
100,1,4,1,0,4,26500,1,101,93.0,0,1,7.05,1
100,1,4,1,0,4,18100,1,71,95.0,1,1,5.92,1
100,0,11,1,0,4,12900,1,51,89.0,1,2,2.89,1
100,1,2,1,8,2,13500,2,104,98.0,0,1,4.46,1
100,0,2,1,1,2,7500,1,16,87.0,0,1,0.39,1
100,0,5,1,0,12,52500,3,7,70.0,0,2,0.13,1
100,1,1,1,0,2,12500,6,67,91.0,0,1,1.87,1
71,1,363,1,4,4,22900,3,17,91.0,1,2,1.4,1
100,1,4,1,0,6,29500,2,43,92.0,0,1,3.96,1
100,1,2,1,0,2,13500,2,152,94.0,1,2,3.75,1
100,1,1,1,0,2,23800,2,66,96.0,0,2,2.57,1
100,1,2,1,0,6,25000,2,64,86.0,0,2,1.88,1
100,1,7,1,8,1,4700,1,108,98.0,1,0,2.82,1
100,1,5,1,0,4,25500,1,64,96.0,0,2,6.6,1
100,0,1,1,0,2,20000,1,55,97.0,1,0,11.3,1
100,1,1,1,0,4,20000,2,5,88.0,1,0,0.42,1
100,0,22,0,0,1,3700,10,4,90.0,0,1,0.8,1
100,1,1,1,8,2,12000,2,48,98.0,0,1,3.0,1
100,1,20,1,8,3,7200,1,75,86.0,0,2,3.13,1
100,1,4,1,0,4,26500,1,101,93.0,0,1,7.05,1
95,1,2,1,0,3,15900,1,14,86.0,0,0,9.55,1
100,1,2,1,0,2,8500,2,91,96.0,0,1,2.29,1
100,1,1,1,0,3,25000,1,34,90.0,0,2,1.16,1
100,1,1,1,0,2,18000,2,25,97.0,0,2,3.16,1
96,1,313,1,0,3,21900,3,6,97.0,0,1,0.24,1
89,1,558,1,0,3,24900,3,2,78.0,0,3,0.04,1
98,1,24,1,0,2,14400,2,13,83.0,0,2,0.73,1
100,1,2,1,0,2,9000,1,43,97.0,0,0,1.38,1
90,1,1,1,8,2,6000,3,88,93.0,1,2,1.46,1
100,1,4,0,0,4,7500,1,43,89.0,0,2,4.81,1
100,1,2,1,8,2,10000,1,62,97.0,0,0,4.39,1
100,1,15,1,0,3,28900,4,11,93.0,0,1,1.89,1
96,1,3,1,4,4,17500,1,39,95.0,0,2,3.31,1
100,1,5,1,0,1,6500,1,35,87.0,0,2,9.05,1
100,1,20,1,4,4,9900,1,92,85.0,1,2,2.87,1
100,1,1,1,0,4,4500,1,38,85.0,0,1,8.03,1
